rating_phase1,videoID,emotionName,rating_phase2,average_rating,variance_rating,subject_id
6.37,1485,sadness,5.25,5.8100000000000005,0.7919595949289333,O4mOO2W80Od34gyNg7l6hJzqlDm2
3.93,0746,sadness,4.89,4.41,0.6788225099390853,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.7,0490,sadness,5.0,5.35,0.4949747468305834,O4mOO2W80Od34gyNg7l6hJzqlDm2
1.15,0120,sadness,1.0,1.075,0.10606601717798207,O4mOO2W80Od34gyNg7l6hJzqlDm2
4.84,1623,sadness,4.6,4.72,0.16970562748477155,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.57,1169,sadness,5.97,5.77,0.2828427124746186,O4mOO2W80Od34gyNg7l6hJzqlDm2
3.78,1943,sadness,3.31,3.545,0.33234018715767716,O4mOO2W80Od34gyNg7l6hJzqlDm2
3.56,2062,sadness,4.5,4.03,0.6646803743153546,O4mOO2W80Od34gyNg7l6hJzqlDm2
2.86,0891,sadness,4.53,3.6950000000000003,1.1808683245815346,O4mOO2W80Od34gyNg7l6hJzqlDm2
1.0,0312,sadness,1.7,1.35,0.49497474683058323,O4mOO2W80Od34gyNg7l6hJzqlDm2
2.81,0600,sadness,2.15,2.48,0.4666904755831215,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.89,1101,sadness,6.19,6.04,0.21213203435596475,O4mOO2W80Od34gyNg7l6hJzqlDm2
6.17,0009,sadness,5.97,6.07,0.14142135623730964,O4mOO2W80Od34gyNg7l6hJzqlDm2
2.9,1703,sadness,5.16,4.03,1.5980613254815976,O4mOO2W80Od34gyNg7l6hJzqlDm2
3.84,1329,sadness,4.92,4.38,0.7636753236814714,O4mOO2W80Od34gyNg7l6hJzqlDm2
5.06,2119,sadness,5.19,5.125,0.09192388155425173,O4mOO2W80Od34gyNg7l6hJzqlDm2
1.78,1752,sadness,2.95,2.365,0.8273149339882607,O4mOO2W80Od34gyNg7l6hJzqlDm2
